Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,29.709999,31.160000,29.250000,30.879999,30.879999,409300
2019-06-18,31.150000,31.920000,30.600000,31.910000,31.910000,344800
2019-06-19,31.930000,33.810001,31.799999,32.869999,32.869999,556100
2019-06-20,33.099998,33.599998,31.680000,32.470001,32.470001,341200
2019-06-21,32.279999,32.830002,31.760000,31.889999,31.889999,343100
2019-06-24,31.799999,31.799999,30.650000,30.660000,30.660000,241600
2019-06-25,30.750000,30.950001,29.889999,30.490000,30.490000,418800
2019-06-26,30.639999,30.950001,29.350000,30.100000,30.100000,298900
2019-06-27,30.120001,31.379999,30.020000,31.250000,31.250000,307000
2019-06-28,31.410000,33.049999,31.299999,32.959999,32.959999,826100
2019-07-01,33.380001,34.154999,33.130001,33.750000,33.750000,415600
2019-07-02,33.740002,34.439999,33.314999,34.119999,34.119999,302900
2019-07-03,34.250000,35.299999,34.150002,34.720001,34.720001,239500
2019-07-05,34.439999,35.049999,34.049999,34.959999,34.959999,152200
2019-07-08,34.889999,34.889999,33.570000,34.110001,34.110001,423000
2019-07-09,33.930000,34.415001,33.380001,34.139999,34.139999,387700
2019-07-10,34.189999,34.639999,33.685001,34.119999,34.119999,457700
2019-07-11,34.230000,34.369999,33.564999,34.119999,34.119999,381900
2019-07-12,34.110001,34.490002,33.709999,34.439999,34.439999,250800
2019-07-15,34.480000,35.389999,34.480000,35.240002,35.240002,364600
2019-07-16,35.279999,35.650002,35.150002,35.509998,35.509998,192400
2019-07-17,35.509998,35.959999,35.251999,35.750000,35.750000,306400
2019-07-18,35.779999,36.139999,35.310001,35.520000,35.520000,283100
2019-07-19,35.650002,36.230000,35.433998,36.000000,36.000000,222600
2019-07-22,36.029999,36.029999,35.330002,35.669998,35.669998,301100
2019-07-23,35.959999,36.330002,35.529999,36.099998,36.099998,230900
2019-07-24,36.020000,36.165001,35.639999,36.029999,36.029999,263100
2019-07-25,35.900002,36.310001,35.520000,35.750000,35.750000,324600
2019-07-26,35.840000,36.250000,35.509998,35.939999,35.939999,436600
2019-07-29,35.930000,36.029999,33.869999,34.480000,34.480000,668100
2019-07-30,34.330002,34.500000,33.000000,34.020000,34.020000,595500
2019-07-31,34.180000,35.049999,33.750000,34.240002,34.240002,952700
2019-08-01,34.110001,34.360001,33.029999,33.439999,33.439999,517700
2019-08-02,33.389999,33.650002,32.080002,32.529999,32.529999,262900
2019-08-05,31.820000,32.290001,31.000000,31.940001,31.940001,378500
2019-08-06,32.119999,32.119999,31.110001,31.680000,31.680000,452700
2019-08-07,31.370001,32.750000,31.160000,32.270000,32.270000,476700
2019-08-08,35.090000,36.000000,31.730000,32.770000,32.770000,1192400
2019-08-09,32.980000,35.242001,32.799999,34.750000,34.750000,1246900
2019-08-12,34.660000,34.860001,32.840000,33.770000,33.770000,531700
2019-08-13,33.720001,34.740002,33.647999,33.759998,33.759998,380100
2019-08-14,33.410000,33.950001,31.500000,32.160000,32.160000,544500
2019-08-15,32.490002,32.490002,30.510000,30.540001,30.540001,504500
2019-08-16,30.740000,32.410000,30.469999,32.160000,32.160000,608800
2019-08-19,32.500000,33.080002,32.220001,32.630001,32.630001,446700
2019-08-20,32.500000,33.209999,32.275002,32.919998,32.919998,576400
2019-08-21,33.099998,33.450001,31.700001,31.950001,31.950001,178500
2019-08-22,32.049999,32.400002,31.549999,31.900000,31.900000,284800
2019-08-23,31.980000,32.180000,30.209999,30.280001,30.280001,250000
2019-08-26,30.290001,32.450001,30.290001,31.850000,31.850000,440300
2019-08-27,31.900000,32.189999,30.850000,31.270000,31.270000,265300
2019-08-28,31.059999,31.770000,30.900000,31.320000,31.320000,221600
2019-08-29,31.559999,31.940001,31.040001,31.379999,31.379999,287500
2019-08-30,31.660000,31.964001,31.120001,31.660000,31.660000,184800
2019-09-03,31.379999,31.580000,28.940001,29.379999,29.379999,665200
2019-09-04,29.760000,30.000000,28.230000,28.250000,28.250000,502000
2019-09-05,28.549999,29.520000,27.809999,29.379999,29.379999,396400
2019-09-06,29.500000,29.840000,28.520000,28.600000,28.600000,381100
2019-09-09,28.629999,28.629999,27.200001,27.530001,27.530001,565500
2019-09-10,27.320000,28.160000,26.540001,27.700001,27.700001,425100
2019-09-11,27.750000,29.110001,27.629999,29.030001,29.030001,287600
2019-09-12,29.049999,29.420000,26.940001,27.010000,27.010000,394700
2019-09-13,27.120001,27.502001,26.010000,26.610001,26.610001,482500
2019-09-16,26.600000,27.250000,26.320000,27.040001,27.040001,207700
2019-09-17,27.040001,27.200001,25.370001,25.559999,25.559999,435900
2019-09-18,25.500000,26.230000,25.490000,26.209999,26.209999,356500
2019-09-19,26.309999,26.525999,25.600000,25.870001,25.870001,325900
2019-09-20,25.820000,27.834999,25.790001,27.230000,27.230000,832500
2019-09-23,27.260000,27.790001,26.660000,27.530001,27.530001,433700
2019-09-24,27.590000,27.780001,26.520000,26.650000,26.650000,349300
2019-09-25,26.500000,27.250000,26.070000,27.049999,27.049999,201400
2019-09-26,27.280001,27.280001,26.180000,26.725000,26.725000,247600
2019-09-27,26.950001,26.980000,26.110001,26.809999,26.809999,337100
2019-09-30,26.940001,27.719999,26.940001,27.260000,27.260000,355000
2019-10-01,27.150000,27.820000,26.110001,26.309999,26.309999,308500
2019-10-02,26.170000,26.240000,25.410000,26.030001,26.030001,220800
2019-10-03,26.049999,27.340000,25.771999,27.309999,27.309999,219000
2019-10-04,27.250000,27.760000,26.799999,27.430000,27.430000,281500
2019-10-07,27.200001,27.799999,26.924999,27.360001,27.360001,178000
2019-10-08,27.100000,27.549999,26.760000,27.020000,27.020000,237400
2019-10-09,27.469999,27.600000,26.230000,26.639999,26.639999,230200
2019-10-10,26.660000,26.740000,25.570000,25.600000,25.600000,293300
2019-10-11,25.920000,26.120001,25.180000,25.219999,25.219999,278500
2019-10-14,25.250000,26.850000,25.219999,26.430000,26.430000,244300
2019-10-15,26.469999,27.750000,26.469999,27.559999,27.559999,251400
2019-10-16,27.540001,27.790001,26.020000,26.139999,26.139999,239900
2019-10-17,26.320000,26.355000,25.610001,25.700001,25.700001,202300
2019-10-18,25.500000,25.645000,23.650000,23.969999,23.969999,1263800
2019-10-21,24.040001,26.000000,23.850000,25.889999,25.889999,455600
2019-10-22,25.889999,26.395000,25.590000,26.385000,26.385000,204300
2019-10-23,26.389999,26.389999,25.299999,25.559999,25.559999,384900
2019-10-24,25.770000,25.770000,24.639999,25.059999,25.059999,530500
2019-10-25,25.040001,25.639999,24.650000,24.690001,24.690001,461100
2019-10-28,25.070000,25.320000,24.809999,25.200001,25.200001,531200
2019-10-29,25.110001,25.530001,24.920000,25.120001,25.120001,277600
2019-10-30,25.059999,25.299999,24.403999,24.990000,24.990000,314200
2019-10-31,24.889999,24.950001,23.830000,24.719999,24.719999,559500
2019-11-01,24.950001,25.850000,24.719999,25.549999,25.549999,600600
2019-11-04,25.670000,26.110001,25.389999,26.010000,26.010000,582500
2019-11-05,26.370001,27.480000,26.100000,26.440001,26.440001,447400
2019-11-06,26.290001,26.820000,25.430000,25.530001,25.530001,297700
2019-11-07,25.809999,26.389999,25.299999,26.200001,26.200001,415400
2019-11-08,25.000000,26.809999,22.530001,23.219999,23.219999,1353900
2019-11-11,23.129999,23.650000,21.280001,22.730000,22.730000,1012600
2019-11-12,22.740000,22.804001,21.900000,22.410000,22.410000,742700
2019-11-13,23.040001,24.410000,22.900000,23.969999,23.969999,794100
2019-11-14,23.920000,24.360001,23.469999,24.250000,24.250000,559700
2019-11-15,24.250000,24.570000,23.620001,24.020000,24.020000,526000
2019-11-18,23.860001,24.100000,22.969999,23.180000,23.180000,397400
2019-11-19,23.520000,24.700001,23.520000,23.660000,23.660000,503500
2019-11-20,23.469999,24.120001,23.469999,23.719999,23.719999,313000
2019-11-21,23.600000,24.150000,23.270000,23.770000,23.770000,576800
2019-11-22,23.820000,24.049999,22.844999,22.920000,22.920000,316100
2019-11-25,22.709999,23.500000,22.709999,23.090000,23.090000,292200
2019-11-26,22.770000,23.120001,21.950001,22.240000,22.240000,412700
2019-11-27,22.520000,22.980000,22.209999,22.469999,22.469999,316100
2019-11-29,22.600000,23.049999,22.400000,23.000000,23.000000,198000
2019-12-02,23.080000,23.260000,22.530001,22.945000,22.945000,323500
2019-12-03,22.540001,22.920000,22.250000,22.809999,22.809999,326200
2019-12-04,23.040001,23.830000,22.709999,22.790001,22.790001,383900
2019-12-05,22.820000,23.709999,22.740000,23.330000,23.330000,274000
2019-12-06,23.480000,24.600000,23.306999,23.870001,23.870001,333400
2019-12-09,23.700001,24.450001,23.600000,24.219999,24.219999,206000
2019-12-10,24.219999,24.430000,23.330000,23.660000,23.660000,257500
2019-12-11,23.799999,24.639999,23.653000,24.600000,24.600000,265800
2019-12-12,24.629999,25.120001,24.040001,24.559999,24.559999,277100
2019-12-13,24.620001,24.990000,24.320000,24.590000,24.590000,184700
2019-12-16,24.730000,25.430000,24.090000,25.160000,25.160000,342600
2019-12-17,25.170000,25.191999,24.340000,25.000000,25.000000,293600
