Date,Open,High,Low,Close,Adj_Close,Volume,Ticker
2019-06-17,34.720001,35.360001,32.669998,33.700001,33.700001,15403000,CHWY
2019-06-18,34.5,37.470001,34.349998,37.360001,37.360001,11022800,CHWY
2019-06-19,37.599998,37.630001,34.25,34.900002,34.900002,11163600,CHWY
2019-06-20,35.110001,35.549999,33.599998,34.23,34.23,7901000,CHWY
2019-06-21,33.490002,34.0,31.200001,32.279999,32.279999,9277700,CHWY
2019-06-24,31.879999,32.869999,30.790001,31.530001,31.530001,3680400,CHWY
2019-06-25,32.0,32.560001,30.785,31.799999,31.799999,3232900,CHWY
2019-06-26,32.400002,32.779999,31.735001,32.369999,32.369999,2124600,CHWY
2019-06-27,32.419998,33.400002,32.368,33.310001,33.310001,1559900,CHWY
2019-06-28,33.400002,35.400002,33.349998,35.0,35.0,5280600,CHWY
2019-07-01,35.0,35.16,33.049999,33.650002,33.650002,2549000,CHWY
2019-07-02,33.619999,33.619999,32.5,33.009998,33.009998,1194800,CHWY
2019-07-03,33.0,34.310001,33.0,33.82,33.82,1191400,CHWY
2019-07-05,33.529999,34.580002,33.220001,34.27,34.27,1889100,CHWY
2019-07-08,34.200001,34.799999,33.93,34.400002,34.400002,2177900,CHWY
2019-07-09,33.919998,34.490002,32.758999,33.290001,33.290001,3507700,CHWY
2019-07-10,33.439999,34.139999,33.005001,33.209999,33.209999,2065900,CHWY
2019-07-11,33.400002,33.630001,32.919998,33.380001,33.380001,1597100,CHWY
2019-07-12,33.400002,34.060001,33.400002,33.959999,33.959999,1414500,CHWY
2019-07-15,34.009998,34.049999,33.040001,33.09,33.09,1840700,CHWY
2019-07-16,33.23,33.279999,32.549999,32.810001,32.810001,1800600,CHWY
2019-07-17,32.57,32.599998,31.15,31.66,31.66,3829900,CHWY
2019-07-18,31.35,33.150002,30.940001,32.849998,32.849998,5567800,CHWY
2019-07-19,33.810001,33.82,30.25,30.690001,30.690001,11071400,CHWY
2019-07-22,30.85,31.73,30.200001,30.209999,30.209999,3180800,CHWY
2019-07-23,30.469999,30.573999,29.030001,29.610001,29.610001,5317800,CHWY
2019-07-24,29.719999,32.849998,29.52,32.700001,32.700001,5582000,CHWY
2019-07-25,32.580002,33.849998,32.310001,33.75,33.75,4979600,CHWY
2019-07-26,33.630001,33.75,32.313999,32.450001,32.450001,2169700,CHWY
2019-07-29,32.450001,34.200001,32.400002,34.16,34.16,1896300,CHWY
2019-07-30,33.860001,34.639999,33.689999,34.43,34.43,1320000,CHWY
2019-07-31,34.57,35.5,33.25,33.560001,33.560001,2406900,CHWY
2019-08-01,33.73,35.09,33.459999,33.580002,33.580002,1884700,CHWY
2019-08-02,33.57,34.299999,32.34,32.57,32.57,2101100,CHWY
2019-08-05,31.700001,32.619999,31.5,32.209999,32.209999,2519600,CHWY
2019-08-06,32.650002,33.209999,31.790001,32.619999,32.619999,1617800,CHWY
2019-08-07,32.209999,32.48,31.27,32.330002,32.330002,1602200,CHWY
2019-08-08,32.400002,34.029999,32.310001,33.950001,33.950001,1286900,CHWY
2019-08-09,33.919998,34.990002,33.5,33.75,33.75,1384700,CHWY
2019-08-12,33.259998,33.75,32.75,33.720001,33.720001,937100,CHWY
2019-08-13,33.389999,35.200001,32.650002,32.970001,32.970001,1785400,CHWY
2019-08-14,32.639999,32.639999,30.57,31.84,31.84,2213500,CHWY
