Open,High,Low,Close,Adj_Close,Volume
189.639999,194.929993,184.539993,194.419998,194.419998,474200
195.0,198.710007,193.669998,197.449997,197.449997,496900
198.320007,203.259995,197.809998,203.169998,203.169998,631100
203.440002,205.899994,202.320007,204.350006,204.350006,468200
205.139999,206.490005,202.559998,204.529999,204.529999,443200
205.740005,205.740005,202.509995,203.580002,203.580002,422000
203.380005,205.789993,201.699997,203.369995,203.369995,445000
203.759995,207.139999,203.320007,204.729996,204.729996,785300
203.470001,204.119995,197.820007,199.059998,199.059998,627400
199.960007,201.449997,198.720001,200.720001,200.720001,325400
200.490005,201.820007,198.300003,200.229996,200.229996,415300
198.210007,199.050003,193.699997,193.880005,193.880005,537000
194.020004,196.690002,190.160004,190.309998,190.309998,603300
192.929993,197.479996,191.589996,197.300003,197.300003,563300
199.179993,199.419998,189.729996,190.899994,190.899994,492300
191.259995,192.550003,187.929993,188.789993,188.789993,616600
189.699997,193.630005,188.369995,191.389999,191.389999,723000
191.289993,191.949997,184.479996,186.619995,186.619995,479200
187.610001,189.350006,186.039993,188.710007,188.710007,604600
186.399994,191.589996,185.509995,190.830002,190.830002,421200
192.300003,192.990005,189.75,190.880005,190.880005,363600
189.759995,191.100006,183.860001,185.559998,185.559998,403600
186.369995,190.179993,185.669998,187.130005,187.130005,352700
189.300003,194.559998,189.070007,193.259995,193.259995,397200
191.259995,193.869995,190.919998,192.410004,192.410004,275400
193.130005,195.509995,192.889999,194.210007,194.210007,297200
194.759995,195.020004,190.740005,191.779999,191.779999,301000
193.440002,197.0,191.320007,195.619995,195.619995,291700
196.919998,200.509995,196.190002,199.619995,199.619995,441800
199.660004,202.259995,199.0,200.839996,200.839996,260100
200.380005,200.520004,196.429993,197.820007,197.820007,340100
198.270004,199.710007,195.809998,196.75,196.75,350800
197.699997,200.350006,196.779999,197.630005,197.630005,212200
199.080002,201.149994,192.339996,193.850006,193.850006,430600
193.690002,195.25,191.539993,194.610001,194.610001,324500
195.149994,199.550003,194.740005,199.059998,199.059998,401000
199.589996,199.75,195.779999,197.190002,197.190002,289100
197.820007,198.339996,194.089996,194.490005,194.490005,425500
194.020004,195.479996,193.360001,195.059998,195.059998,447700
194.690002,195.869995,192.070007,193.169998,193.169998,617100
191.970001,195.970001,189.419998,195.779999,195.779999,553100
200.0,212.470001,198.309998,212.199997,212.199997,939700
215.75,217.889999,206.0,207.529999,207.529999,804500
205.479996,207.0,203.149994,204.960007,204.960007,544400
205.820007,207.949997,203.830002,206.619995,206.619995,293000
206.789993,209.979996,206.149994,209.100006,209.100006,427600
209.600006,211.800003,209.369995,211.380005,211.380005,328700
211.0,212.699997,209.889999,210.880005,210.880005,230500
209.279999,209.570007,205.630005,208.919998,208.919998,361200
206.0,206.0,196.0,199.419998,199.419998,1559100
199.300003,200.0,194.039993,195.589996,195.589996,887400
195.869995,201.25,195.149994,200.759995,200.759995,539100
202.429993,203.389999,200.490005,201.190002,201.190002,432000
201.509995,201.970001,199.729996,199.990005,199.990005,375100
199.440002,204.559998,199.440002,204.160004,204.160004,516300
