company_id,company,date_ipo,market_capitalization,pet_market_segment,company_size,Date,Adj_Close,Volume,Ticker
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-06-17 00:00:00,33.700001,15403000,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-06-18 00:00:00,37.360001,11022800,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-06-19 00:00:00,34.900002,11163600,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-06-20 00:00:00,34.23,7901000,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-06-21 00:00:00,32.279999,9277700,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-06-24 00:00:00,31.530001,3680400,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-06-25 00:00:00,31.799999,3232900,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-06-26 00:00:00,32.369999,2124600,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-06-27 00:00:00,33.310001,1559900,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-06-28 00:00:00,35,5280600,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-01 00:00:00,33.650002,2549000,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-02 00:00:00,33.009998,1194800,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-03 00:00:00,33.82,1191400,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-05 00:00:00,34.27,1889100,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-08 00:00:00,34.400002,2177900,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-09 00:00:00,33.290001,3507700,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-10 00:00:00,33.209999,2065900,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-11 00:00:00,33.380001,1597100,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-12 00:00:00,33.959999,1414500,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-15 00:00:00,33.09,1840700,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-16 00:00:00,32.810001,1800600,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-17 00:00:00,31.66,3829900,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-18 00:00:00,32.849998,5567800,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-19 00:00:00,30.690001,11071400,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-22 00:00:00,30.209999,3180800,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-23 00:00:00,29.610001,5317800,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-24 00:00:00,32.700001,5582000,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-25 00:00:00,33.75,4979600,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-26 00:00:00,32.450001,2169700,CHWY
1,"Chewy, Inc,",2019-06-14,13.95B,"Pet Supplies, E-commerce",21300,2019-07-29 00:00:00,34.16,1896300,CHWY
